,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,replacements,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
78,MS Dhoni,PVD Chameera,KL Rahul,1,0,1,166,1,2,6,13,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
79,MS Dhoni,A Dananjaya,KL Rahul,4,0,4,170,5,3,1,14,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
80,MS Dhoni,A Dananjaya,KL Rahul,4,0,4,174,9,4,2,14,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
81,MS Dhoni,A Dananjaya,KL Rahul,1,0,1,175,10,5,3,14,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
82,KL Rahul,A Dananjaya,MS Dhoni,1,0,1,176,47,34,4,14,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
83,MS Dhoni,A Dananjaya,KL Rahul,0,0,0,176,10,6,5,14,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
84,MS Dhoni,A Dananjaya,KL Rahul,1,0,1,177,11,7,6,14,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
85,MS Dhoni,N Pradeep,KL Rahul,0,1,1,178,11,8,1,15,legbyes,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
86,KL Rahul,N Pradeep,MS Dhoni,4,0,4,182,51,35,2,15,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
87,KL Rahul,N Pradeep,MS Dhoni,1,0,1,183,52,36,3,15,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
