,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
72,DJ Bravo,PVD Chameera,JO Holder,1,0,1,121,3,16,3,12,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
73,JO Holder,PVD Chameera,DJ Bravo,0,1,1,122,18,18,4,12,wides,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
74,JO Holder,PVD Chameera,DJ Bravo,0,0,0,122,18,19,5,12,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
75,JO Holder,PVD Chameera,DJ Bravo,4,0,4,126,22,20,6,12,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
76,JO Holder,PVD Chameera,DJ Bravo,0,0,0,126,22,21,7,12,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
77,DJ Bravo,KNA Bandara,JO Holder,1,0,1,127,4,17,1,13,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
78,JO Holder,KNA Bandara,DJ Bravo,0,0,0,127,22,22,2,13,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
79,JO Holder,KNA Bandara,DJ Bravo,0,0,0,127,22,23,3,13,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
80,JO Holder,KNA Bandara,DJ Bravo,1,0,1,128,23,24,4,13,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
81,DJ Bravo,KNA Bandara,JO Holder,0,0,0,128,4,18,5,13,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
82,DJ Bravo,KNA Bandara,JO Holder,0,0,0,128,4,19,6,13,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
83,JO Holder,N Pradeep,DJ Bravo,6,0,6,134,29,25,1,14,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
