,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
10,FH Allen,Shakib Al Hasan,TWM Latham,6,0,6,9,119,6,4,1,5,0,,,1,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
11,FH Allen,Shakib Al Hasan,TWM Latham,1,0,1,10,118,7,5,1,6,0,,,1,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
12,FH Allen,Nasum Ahmed,TWM Latham,2,0,2,12,116,9,6,1,1,0,,,2,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
13,FH Allen,Nasum Ahmed,TWM Latham,3,0,3,15,113,12,7,1,2,0,,,2,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
14,TWM Latham,Nasum Ahmed,FH Allen,1,0,1,16,112,4,3,1,3,0,,,2,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
15,FH Allen,Nasum Ahmed,TWM Latham,0,0,0,16,112,12,8,2,4,caught,FH Allen,Mohammad Saifuddin,2,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
16,WA Young,Nasum Ahmed,TWM Latham,0,0,0,16,112,0,1,2,5,0,,,2,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
17,WA Young,Nasum Ahmed,TWM Latham,0,0,0,16,112,0,2,2,6,0,,,2,"{'by': 'Bangladesh', 'umpire': 'Gazi Sohel', 'batter': 'TWM Latham', 'decision': 'struck down'}",-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
18,TWM Latham,Shakib Al Hasan,WA Young,0,0,0,16,112,4,4,2,1,0,,,3,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
19,TWM Latham,Shakib Al Hasan,WA Young,0,0,0,16,112,4,5,2,2,0,,,3,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
20,TWM Latham,Shakib Al Hasan,WA Young,0,0,0,16,112,4,6,2,3,0,,,3,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
21,TWM Latham,Shakib Al Hasan,WA Young,1,0,1,17,111,5,7,2,4,0,,,3,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
22,WA Young,Shakib Al Hasan,TWM Latham,0,0,0,17,111,0,3,2,5,0,,,3,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
23,WA Young,Shakib Al Hasan,TWM Latham,0,0,0,17,111,0,4,2,6,0,,,3,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
24,TWM Latham,Mahedi Hasan,WA Young,0,0,0,17,111,5,8,2,1,0,,,4,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
25,TWM Latham,Mahedi Hasan,WA Young,1,0,1,18,110,6,9,2,2,0,,,4,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
26,WA Young,Mahedi Hasan,TWM Latham,0,0,0,18,110,0,5,2,3,0,,,4,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
27,WA Young,Mahedi Hasan,TWM Latham,1,0,1,19,109,1,6,2,4,0,,,4,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
28,TWM Latham,Mahedi Hasan,WA Young,0,0,0,19,109,6,10,2,5,0,,,4,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
29,TWM Latham,Mahedi Hasan,WA Young,0,0,0,19,109,6,11,2,6,0,,,4,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
30,WA Young,Mustafizur Rahman,TWM Latham,0,0,0,19,109,1,7,2,1,0,,,5,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
31,WA Young,Mustafizur Rahman,TWM Latham,1,0,1,20,108,2,8,2,2,0,,,5,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
32,TWM Latham,Mustafizur Rahman,WA Young,1,0,1,21,107,7,12,2,3,0,,,5,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
33,WA Young,Mustafizur Rahman,TWM Latham,0,0,0,21,107,2,9,2,4,0,,,5,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
34,WA Young,Mustafizur Rahman,TWM Latham,0,0,0,21,107,2,10,2,5,0,,,5,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
35,WA Young,Mustafizur Rahman,TWM Latham,1,0,1,22,106,3,11,2,6,0,,,5,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
36,WA Young,Mahedi Hasan,TWM Latham,1,0,1,23,105,4,12,2,1,0,,,6,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
37,TWM Latham,Mahedi Hasan,WA Young,0,0,0,23,105,7,13,2,2,0,,,6,"{'by': 'Bangladesh', 'umpire': 'Gazi Sohel', 'batter': 'TWM Latham', 'decision': 'struck down'}",-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
38,TWM Latham,Mahedi Hasan,WA Young,2,0,2,25,103,9,14,2,3,0,,,6,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
39,TWM Latham,Mahedi Hasan,WA Young,4,0,4,29,99,13,15,2,4,0,,,6,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
40,TWM Latham,Mahedi Hasan,WA Young,0,0,0,29,99,13,16,2,5,0,,,6,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
41,TWM Latham,Mahedi Hasan,WA Young,1,0,1,30,98,14,17,2,6,0,,,6,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
42,TWM Latham,Mohammad Saifuddin,WA Young,1,0,1,31,97,15,18,2,1,0,,,7,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
43,WA Young,Mohammad Saifuddin,TWM Latham,0,0,0,31,97,4,13,2,2,0,,,7,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
44,WA Young,Mohammad Saifuddin,TWM Latham,1,0,1,32,96,5,14,2,3,0,,,7,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
45,TWM Latham,Mohammad Saifuddin,WA Young,1,0,1,33,95,16,19,2,4,0,,,7,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
46,WA Young,Mohammad Saifuddin,TWM Latham,1,0,1,34,94,6,15,2,5,0,,,7,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
47,TWM Latham,Mohammad Saifuddin,WA Young,1,0,1,35,93,17,20,2,6,0,,,7,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
48,TWM Latham,Shakib Al Hasan,WA Young,1,0,1,36,92,18,21,2,1,0,,,8,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
49,WA Young,Shakib Al Hasan,TWM Latham,0,0,0,36,92,6,16,2,2,0,,,8,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
50,WA Young,Shakib Al Hasan,TWM Latham,4,0,4,40,88,10,17,2,3,0,,,8,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
51,WA Young,Shakib Al Hasan,TWM Latham,0,0,0,40,88,10,18,2,4,0,,,8,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
52,WA Young,Shakib Al Hasan,TWM Latham,1,0,1,41,87,11,19,2,5,0,,,8,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
53,TWM Latham,Shakib Al Hasan,WA Young,1,0,1,42,86,19,22,2,6,0,,,8,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
54,TWM Latham,Nasum Ahmed,WA Young,0,0,0,42,86,19,23,2,1,0,,,9,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
55,TWM Latham,Nasum Ahmed,WA Young,1,0,1,43,85,20,24,2,2,0,,,9,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
56,WA Young,Nasum Ahmed,TWM Latham,0,0,0,43,85,11,20,2,3,0,,,9,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
57,WA Young,Nasum Ahmed,TWM Latham,1,0,1,44,84,12,21,2,4,0,,,9,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
58,TWM Latham,Nasum Ahmed,WA Young,1,0,1,45,83,21,25,2,5,0,,,9,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
59,WA Young,Nasum Ahmed,TWM Latham,1,0,1,46,82,13,22,2,6,0,,,9,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
60,WA Young,Mahedi Hasan,TWM Latham,4,0,4,50,78,17,23,2,1,0,,,10,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
61,WA Young,Mahedi Hasan,TWM Latham,1,0,1,51,77,18,24,2,2,0,,,10,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
62,TWM Latham,Mahedi Hasan,WA Young,0,0,0,51,77,21,26,3,3,stumped,TWM Latham,Nurul Hasan,10,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
63,HM Nicholls,Mahedi Hasan,WA Young,0,0,0,51,77,0,1,3,4,0,,,10,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
64,HM Nicholls,Mahedi Hasan,WA Young,0,0,0,51,77,0,2,3,5,0,,,10,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
65,HM Nicholls,Mahedi Hasan,WA Young,1,0,1,52,76,1,3,3,6,0,,,10,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
66,HM Nicholls,Nasum Ahmed,WA Young,0,0,0,52,76,1,4,3,1,0,,,11,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
67,HM Nicholls,Nasum Ahmed,WA Young,0,0,0,52,76,1,5,4,2,bowled,HM Nicholls,,11,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
68,C de Grandhomme,Nasum Ahmed,WA Young,0,0,0,52,76,0,1,5,3,caught,C de Grandhomme,Nurul Hasan,11,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
69,TA Blundell,Nasum Ahmed,WA Young,0,0,0,52,76,0,1,5,4,0,,,11,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
70,TA Blundell,Nasum Ahmed,WA Young,0,0,0,52,76,0,2,5,5,0,,,11,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
71,TA Blundell,Nasum Ahmed,WA Young,0,0,0,52,76,0,3,5,6,0,,,11,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
72,WA Young,Mahedi Hasan,TA Blundell,1,0,1,53,75,19,25,5,1,0,,,12,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
73,TA Blundell,Mahedi Hasan,WA Young,1,0,1,54,74,1,4,5,2,0,,,12,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
74,WA Young,Mahedi Hasan,TA Blundell,1,0,1,55,73,20,26,5,3,0,,,12,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
75,TA Blundell,Mahedi Hasan,WA Young,1,0,1,56,72,2,5,5,4,0,,,12,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
76,WA Young,Mahedi Hasan,TA Blundell,1,0,1,57,71,21,27,5,5,0,,,12,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
77,TA Blundell,Mahedi Hasan,WA Young,0,0,0,57,71,2,6,5,6,0,,,12,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
78,WA Young,Mohammad Saifuddin,TA Blundell,1,0,1,58,70,22,28,5,1,0,,,13,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
79,TA Blundell,Mohammad Saifuddin,WA Young,1,0,1,59,69,3,7,5,2,0,,,13,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
80,WA Young,Mohammad Saifuddin,TA Blundell,4,0,4,63,65,26,29,5,3,0,,,13,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
81,WA Young,Mohammad Saifuddin,TA Blundell,0,0,0,63,65,26,30,5,4,0,,,13,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
82,WA Young,Mohammad Saifuddin,TA Blundell,0,0,0,63,65,26,31,5,5,0,,,13,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
83,WA Young,Mohammad Saifuddin,TA Blundell,2,0,2,65,63,28,32,5,6,0,,,13,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
84,TA Blundell,Mahmudullah,WA Young,1,0,1,66,62,4,8,5,1,0,,,14,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
85,WA Young,Mahmudullah,TA Blundell,0,0,0,66,62,28,33,5,2,0,,,14,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
86,WA Young,Mahmudullah,TA Blundell,0,0,0,66,62,28,34,5,3,0,,,14,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
87,WA Young,Mahmudullah,TA Blundell,6,0,6,72,56,34,35,5,4,0,,,14,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
88,WA Young,Mahmudullah,TA Blundell,0,0,0,72,56,34,36,5,5,0,,,14,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
89,WA Young,Mahmudullah,TA Blundell,0,0,0,72,56,34,37,5,6,0,,,14,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
90,TA Blundell,Mustafizur Rahman,WA Young,0,0,0,72,56,4,9,5,1,0,,,15,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
91,TA Blundell,Mustafizur Rahman,WA Young,0,0,0,72,56,4,10,6,2,caught,TA Blundell,Mohammad Naim,15,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
92,WA Young,Mustafizur Rahman,CE McConchie,1,0,1,73,55,35,38,6,3,0,,,15,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
93,CE McConchie,Mustafizur Rahman,WA Young,0,1,1,74,54,0,1,6,4,0,,,15,,wides,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
94,CE McConchie,Mustafizur Rahman,WA Young,0,0,0,74,54,0,2,6,5,0,,,15,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
95,CE McConchie,Mustafizur Rahman,WA Young,0,0,0,74,54,0,3,6,6,0,,,15,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
96,CE McConchie,Mustafizur Rahman,WA Young,0,0,0,74,54,0,4,7,7,caught and bowled,CE McConchie,,15,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
97,WA Young,Shakib Al Hasan,AY Patel,1,0,1,75,53,36,39,7,1,0,,,16,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
98,AY Patel,Shakib Al Hasan,WA Young,1,0,1,76,52,1,1,7,2,0,,,16,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
99,WA Young,Shakib Al Hasan,AY Patel,0,1,1,77,51,36,40,7,3,0,,,16,,legbyes,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
100,AY Patel,Shakib Al Hasan,WA Young,1,0,1,78,50,2,2,7,4,0,,,16,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
101,WA Young,Shakib Al Hasan,AY Patel,4,0,4,82,46,40,41,7,5,0,,,16,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
102,WA Young,Shakib Al Hasan,AY Patel,0,0,0,82,46,40,42,7,6,0,,,16,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
103,AY Patel,Mustafizur Rahman,WA Young,0,0,0,82,46,2,3,7,1,0,,,17,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-08,Bangladesh,New Zealand,Bangladesh,93
