,venue,total_mean,total_std,first_bat_won_ratio,number_of_matches,host
29,Gaddafi Stadium,166.5,19.10420341797308,0.5555555555555556,18,Pakistan
30,Greater Noida Sports Complex Ground,166.0,21.633307652783937,0.5,3,India
31,Green Park,147.0,,0.0,1,India
32,Greenfield International Stadium,144.5,73.77669008569035,0.5,4,India
33,Gymkhana Club Ground,191.0,,1.0,1,India
34,Hagley Oval,159.45454545454547,23.30392085621489,0.36363636363636365,11,New Zealand
35,Harare Sports Club,156.1219512195122,28.839378566424777,0.5609756097560976,41,Zimbabwe
36,Headingley,200.0,,1.0,1,England
37,Himachal Pradesh Cricket Association Stadium,167.5,27.958302285129307,0.25,4,India
38,Holkar Cricket Stadium,200.25,53.15621631882139,0.5,4,India
39,JSCA International Stadium Complex,160.75,33.48009358808106,0.5,4,India
40,Jade Stadium,193.0,,1.0,1,New Zealand
41,John Davies Oval,182.0,,0.0,1,New Zealand
42,Kensington Oval,159.9090909090909,30.184999571545454,0.6818181818181818,22,Barbados
43,Kingsmead,164.66666666666666,41.9994331027501,0.5,15,South Africa
44,Lord's,144.33333333333334,9.892758294159757,0.6666666666666666,6,England
45,M. Chinnaswamy Stadium,161.66666666666666,32.411417741283714,0.375,9,India
46,MA Chidambaram Stadium,174.0,9.899494936611665,0.5,2,India
47,Maharashtra Cricket Association Stadium,166.25,48.753632343310244,0.5,4,India
48,Mahinda Rajapaksa International Cricket Stadium,130.71428571428572,36.86784636018349,0.7142857142857143,7,Sri Lanka
49,Malahide Cricket Club Ground,177.57142857142858,42.762355496616976,0.7142857142857143,7,Ireland
50,Mangaung Oval,181.5,19.091883092036785,0.5,2,South Africa
51,Manuka Oval,152.5,23.951339558919592,0.5,4,Australia
52,Maple Leaf Cricket Club,134.5,3.5355339059327378,0.0,2,Canada
53,McLean Park,170.33333333333334,38.19773117171577,0.4,6,New Zealand
54,Melbourne Cricket Ground,145.33333333333334,28.361116712436953,0.3888888888888889,18,Australia
55,Moses Mabhida Stadium,168.0,,1.0,1,South Africa
56,Narendra Modi Stadium,182.71428571428572,38.59496636313379,0.5714285714285714,7,India
57,National Cricket Stadium,179.25,22.795676281761352,0.75,8,Grenada
58,National Stadium,189.72727272727272,22.991698106450983,0.6363636363636364,11,Pakistan
59,New Wanderers Stadium,172.83870967741936,32.99403660683099,0.4838709677419355,31,South Africa
60,Newlands Cricket Ground,156.9047619047619,25.822286424530184,0.3,21,South Africa
61,Old Trafford,167.77777777777777,27.480801379225543,0.3333333333333333,9,England
62,Pallekele International Cricket Stadium,172.54545454545453,30.918829634609814,0.6,22,Sri Lanka
63,Perth Stadium,152.28571428571428,45.36046107097489,0.42857142857142855,7,Australia
64,Providence Stadium,149.8,28.389356377972987,0.3,10,Guyana
65,Punjab Cricket Association IS Bindra Stadium,179.14285714285714,24.04460141368239,0.2857142857142857,7,India
66,Queen's Park Oval,129.66666666666666,18.084984563628097,0.5,6,Trinidad and Tobago
67,Queens Sports Club,168.0,0.0,1.0,2,Zimbabwe
68,R. Premadasa Stadium,149.95454545454547,29.44917146183545,0.38636363636363635,44,Sri Lanka
69,Rajiv Gandhi International Cricket Stadium,182.375,49.335404557550184,0.5,8,India
70,Rangiri Dambulla International Stadium,185.33333333333334,24.54248017893329,1.0,3,Sri Lanka
71,Rawalpindi Cricket Stadium,153.0,29.13188402192118,0.0,4,Pakistan
72,Riverside Ground,157.0,34.88074922742725,0.5,4,England
73,Sabina Park,157.83333333333334,46.43023440245231,0.5,6,Jamaica
74,Saurashtra Cricket Association Stadium,189.4,29.194177501686873,0.6,5,India
75,Sawai Mansingh Stadium,164.0,,0.0,1,India
76,Saxton Oval,183.5,4.949747468305833,1.0,2,New Zealand
77,Seddon Park,179.92307692307693,34.02563136436398,0.5833333333333334,13,New Zealand
78,Senwes Park,178.0,65.05382386916237,0.5,2,South Africa
79,Shaheed Veer Narayan Singh International Stadium,174.0,,1.0,1,India
80,Sharjah Cricket Stadium,148.0,24.05386113068165,0.47058823529411764,18,UAE
81,Sheikh Abu Naser Stadium,174.25,11.176612486199321,0.75,4,Bangladesh
82,Sheikh Zayed Stadium,142.91666666666666,33.35881601706819,0.5,12,UAE
83,Shere Bangla National Stadium,146.33333333333334,31.964012783246517,0.48148148148148145,54,Bangladesh
84,Sir Vivian Richards Stadium,136.0,16.08311744241976,0.75,4,Antigua and Barbuda
85,Sky Stadium,165.75,33.68382401094033,0.4,16,New Zealand
86,Sophia Gardens,149.55555555555554,38.76890219980155,0.3333333333333333,9,Wales
87,St George's Park,143.75,58.05959581900882,0.5,4,South Africa
88,Stadium Australia,162.0,26.356529867694398,0.5,4,Australia
89,SuperSport Park,179.78571428571428,41.53993180141169,0.5,14,South Africa
90,Sydney Cricket Ground,170.625,28.781649246235585,0.5333333333333333,16,Australia
91,Sylhet International Cricket Stadium,164.625,32.9672456494971,0.375,8,Bangladesh
92,The Oval,162.53846153846155,32.79638035062046,0.6153846153846154,13,England
93,The Rose Bowl,173.1818181818182,31.574730978483988,0.6363636363636364,11,England
94,Trent Bridge,165.71428571428572,36.42574865167723,0.5714285714285714,14,England
95,University Oval,194.66666666666666,46.543886100467944,0.6666666666666666,3,New Zealand
96,Vidarbha Cricket Association Stadium,145.16666666666666,43.94731694502711,0.6666666666666666,6,India
97,WACA Ground,159.5,37.476659402887016,0.5,2,Australia
98,Wankhede Stadium,188.14285714285714,36.61251412394662,0.2857142857142857,7,India
99,Warner Park Sporting Complex,136.28571428571428,35.36813201039549,0.14285714285714285,7,St Kitts and Nevis
100,Windsor Park,163.33333333333334,30.534133905079628,0.6666666666666666,3,Dominica
101,Zahur Ahmed Chowdhury Stadium,163.73333333333332,28.73640465299987,0.5333333333333333,15,Bangladesh
102,Zayed Cricket Stadium,149.22222222222223,39.67611932188485,0.3333333333333333,9,UAE
103,Zhejiang University of Technology Cricket Field,93.75,31.857756773926607,0.25,4,China
